id,id_users,id_restourant,rating
149,4511,44669,9.7
150,4175,44669,10.0
151,3789,44669,9.3
152,3630,44669,10.0
153,3454,44669,9.3
154,3273,44669,10.0
155,3272,44669,10.0
156,3266,44669,10.0
157,3248,44669,10.0
158,3245,44669,10.0
159,3238,44669,10.0
160,3230,44669,10.0
161,3223,44669,10.0
162,3220,44669,9.7
163,3206,44669,10.0
164,3205,44669,10.0
165,3186,44669,10.0
166,3181,44669,10.0
167,3172,44669,10.0
168,3157,44669,10.0
169,3083,44669,9.7
170,3039,44669,9.0
171,3010,44669,9.3
172,2978,44669,9.3
173,2971,44669,9.7
174,2968,44669,10.0
175,2966,44669,9.7
176,2958,44669,10.0
177,2949,44669,9.7
178,2905,44669,10.0
179,4971,46068,10.0
180,3992,46068,9.0
181,3918,46068,10.0
182,3914,46068,10.0
183,3851,46068,10.0
184,3773,46068,9.7
185,3602,46068,8.7
186,1668,42881,5.3
187,4623,42881,9.3
188,4259,42881,10.0
189,3795,42881,10.0
190,3729,42881,10.0
191,2875,42881,10.0
192,2183,42881,9.3
193,3338,44209,10.0
194,2816,44209,10.0
195,4693,38876,10.0
196,3635,38876,9.0
197,2762,38876,6.7
198,2499,38876,10.0
199,2314,38876,10.0
200,2144,38876,10.0
201,2098,38876,10.0
202,1973,38876,8.7
203,4669,30960,9.7
204,3433,30960,8.0
205,2158,30960,6.7
206,1322,30960,8.0
207,1244,30960,7.7
208,1315,30960,8.3
209,1320,30960,8.0
210,1212,30960,8.0
211,1574,37862,9.3
212,1803,37862,9.0
213,5201,33360,10.0
214,5050,33360,10.0
215,5115,33360,10.0
216,4367,33360,10.0
217,4719,33360,9.0
218,4367,33360,9.7
219,4333,33360,8.7
220,4321,33360,9.0
221,4296,33360,9.3
222,4215,33360,10.0
223,4203,33360,10.0
224,3595,45286,10.0
225,3577,45286,10.0
226,3875,46430,9.0
227,3651,46430,10.0
228,3848,46430,10.0
229,3834,46430,10.0
230,3770,46430,10.0
